lease,month,payment,interest,liab_end,rou_amort,rou_end,single_cost
GPU capacity services agreement,2027-11,240000.00,20746.59,3441909.72,209612.28,3144184.24,230358.87
GPU capacity services agreement,2027-12,240000.00,19504.16,3221413.88,209612.28,2934571.96,229116.44
GPU capacity services agreement,2028-01,240000.00,18254.68,2999668.56,209612.28,2724959.68,227866.96
GPU capacity services agreement,2028-02,240000.00,16998.12,2776666.68,209612.28,2515347.40,226610.40
GPU capacity services agreement,2028-03,240000.00,15734.44,2552401.12,209612.28,2305735.11,225346.73
GPU capacity services agreement,2028-04,240000.00,14463.61,2326864.73,209612.28,2096122.83,224075.89
GPU capacity services agreement,2028-05,240000.00,13185.57,2100050.30,209612.28,1886510.55,222797.85
GPU capacity services agreement,2028-06,240000.00,11900.29,1871950.58,209612.28,1676898.26,221512.57
GPU capacity services agreement,2028-07,240000.00,10607.72,1642558.30,209612.28,1467285.98,220220.00
GPU capacity services agreement,2028-08,240000.00,9307.83,1411866.13,209612.28,1257673.70,218920.11
GPU capacity services agreement,2028-09,240000.00,8000.57,1179866.71,209612.28,1048061.41,217612.86
GPU capacity services agreement,2028-10,240000.00,6685.91,946552.62,209612.28,838449.13,216298.19
GPU capacity services agreement,2028-11,240000.00,5363.80,711916.42,209612.28,628836.85,214976.08
GPU capacity services agreement,2028-12,240000.00,4034.19,475950.61,209612.28,419224.57,213646.48
GPU capacity services agreement,2029-01,240000.00,2697.05,238647.66,209612.28,209612.28,212309.34
GPU capacity services agreement,2029-02,240000.00,1352.34,-0.00,209612.28,0.00,210964.62
Fleet vehicle #101,2023-08,3705.00,636.53,118176.17,3367.91,117876.73,4004.44
Fleet vehicle #101,2023-09,3705.00,620.42,115091.59,3367.91,114508.82,3988.33
Fleet vehicle #101,2023-10,3705.00,604.23,111990.82,3367.91,111140.92,3972.14
Fleet vehicle #101,2023-11,3705.00,587.95,108873.78,3367.91,107773.01,3955.86
Fleet vehicle #101,2023-12,3705.00,571.59,105740.36,3367.91,104405.10,3939.49
Fleet vehicle #101,2024-01,3705.00,555.14,102590.50,3367.91,101037.20,3923.04
Fleet vehicle #101,2024-02,3705.00,538.60,99424.10,3367.91,97669.29,3906.51
Fleet vehicle #101,2024-03,3705.00,521.98,96241.08,3367.91,94301.38,3889.88
Fleet vehicle #101,2024-04,3705.00,505.27,93041.34,3367.91,90933.48,3873.17
Fleet vehicle #101,2024-05,3705.00,488.47,89824.81,3367.91,87565.57,3856.37
Fleet vehicle #101,2024-06,3705.00,471.58,86591.39,3367.91,84197.66,3839.49
Fleet vehicle #101,2024-07,3705.00,454.60,83341.00,3367.91,80829.76,3822.51
Fleet vehicle #101,2024-08,3705.00,437.54,80073.54,3367.91,77461.85,3805.45
Fleet vehicle #101,2024-09,3705.00,420.39,76788.92,3367.91,74093.94,3788.29
Fleet vehicle #101,2024-10,3705.00,403.14,73487.06,3367.91,70726.04,3771.05
Fleet vehicle #101,2024-11,3705.00,385.81,70167.87,3367.91,67358.13,3753.71
Fleet vehicle #101,2024-12,3705.00,368.38,66831.25,3367.91,63990.22,3736.29
Fleet vehicle #101,2025-01,3705.00,350.86,63477.12,3367.91,60622.32,3718.77
Fleet vehicle #101,2025-02,3705.00,333.25,60105.37,3367.91,57254.41,3701.16
Fleet vehicle #101,2025-03,3705.00,315.55,56715.92,3367.91,53886.50,3683.46
Fleet vehicle #101,2025-04,3705.00,297.76,53308.68,3367.91,50518.60,3665.67
Fleet vehicle #101,2025-05,3705.00,279.87,49883.55,3367.91,47150.69,3647.78
Fleet vehicle #101,2025-06,3705.00,261.89,46440.44,3367.91,43782.78,3629.80
Fleet vehicle #101,2025-07,3705.00,243.81,42979.25,3367.91,40414.88,3611.72
Fleet vehicle #101,2025-08,3705.00,225.64,39499.90,3367.91,37046.97,3593.55
Fleet vehicle #101,2025-09,3705.00,207.37,36002.27,3367.91,33679.07,3575.28
Fleet vehicle #101,2025-10,3705.00,189.01,32486.28,3367.91,30311.16,3556.92
Fleet vehicle #101,2025-11,3705.00,170.55,28951.83,3367.91,26943.25,3538.46
Fleet vehicle #101,2025-12,3705.00,152.00,25398.83,3367.91,23575.35,3519.90
Fleet vehicle #101,2026-01,3705.00,133.34,21827.18,3367.91,20207.44,3501.25
Fleet vehicle #101,2026-02,3705.00,114.59,18236.77,3367.91,16839.53,3482.50
Fleet vehicle #101,2026-03,3705.00,95.74,14627.51,3367.91,13471.63,3463.65
Fleet vehicle #101,2026-04,3705.00,76.79,10999.31,3367.91,10103.72,3444.70
Fleet vehicle #101,2026-05,3705.00,57.75,7352.05,3367.91,6735.81,3425.65
Fleet vehicle #101,2026-06,3705.00,38.60,3685.65,3367.91,3367.91,3406.50
Fleet vehicle #101,2026-07,3705.00,19.35,0.00,3367.91,-0.00,3387.26
Fleet vehicle #102,2023-06,3111.00,534.48,99229.71,2827.95,98978.27,3362.43
Fleet vehicle #102,2023-07,3111.00,520.96,96639.66,2827.95,96150.32,3348.91
Fleet vehicle #102,2023-08,3111.00,507.36,94036.02,2827.95,93322.37,3335.31
Fleet vehicle #102,2023-09,3111.00,493.69,91418.71,2827.95,90494.42,3321.64
Fleet vehicle #102,2023-10,3111.00,479.95,88787.66,2827.95,87666.47,3307.90
Fleet vehicle #102,2023-11,3111.00,466.14,86142.79,2827.95,84838.52,3294.09
Fleet vehicle #102,2023-12,3111.00,452.25,83484.04,2827.95,82010.57,3280.20
Fleet vehicle #102,2024-01,3111.00,438.29,80811.33,2827.95,79182.62,3266.24
Fleet vehicle #102,2024-02,3111.00,424.26,78124.59,2827.95,76354.67,3252.21
Fleet vehicle #102,2024-03,3111.00,410.15,75423.75,2827.95,73526.72,3238.10
Fleet vehicle #102,2024-04,3111.00,395.97,72708.72,2827.95,70698.77,3223.93
Fleet vehicle #102,2024-05,3111.00,381.72,69979.44,2827.95,67870.82,3209.67
Fleet vehicle #102,2024-06,3111.00,367.39,67235.84,2827.95,65042.87,3195.34
Fleet vehicle #102,2024-07,3111.00,352.99,64477.82,2827.95,62214.91,3180.94
Fleet vehicle #102,2024-08,3111.00,338.51,61705.33,2827.95,59386.96,3166.46
Fleet vehicle #102,2024-09,3111.00,323.95,58918.28,2827.95,56559.01,3151.90
Fleet vehicle #102,2024-10,3111.00,309.32,56116.61,2827.95,53731.06,3137.27
Fleet vehicle #102,2024-11,3111.00,294.61,53300.22,2827.95,50903.11,3122.56
Fleet vehicle #102,2024-12,3111.00,279.83,50469.04,2827.95,48075.16,3107.78
Fleet vehicle #102,2025-01,3111.00,264.96,47623.01,2827.95,45247.21,3092.91
Fleet vehicle #102,2025-02,3111.00,250.02,44762.03,2827.95,42419.26,3077.97
Fleet vehicle #102,2025-03,3111.00,235.00,41886.03,2827.95,39591.31,3062.95
Fleet vehicle #102,2025-04,3111.00,219.90,38994.93,2827.95,36763.36,3047.85
Fleet vehicle #102,2025-05,3111.00,204.72,36088.65,2827.95,33935.41,3032.67
Fleet vehicle #102,2025-06,3111.00,189.47,33167.12,2827.95,31107.46,3017.42
Fleet vehicle #102,2025-07,3111.00,174.13,30230.25,2827.95,28279.51,3002.08
Fleet vehicle #102,2025-08,3111.00,158.71,27277.95,2827.95,25451.56,2986.66
Fleet vehicle #102,2025-09,3111.00,143.21,24310.16,2827.95,22623.61,2971.16
Fleet vehicle #102,2025-10,3111.00,127.63,21326.79,2827.95,19795.65,2955.58
Fleet vehicle #102,2025-11,3111.00,111.97,18327.76,2827.95,16967.70,2939.92
Fleet vehicle #102,2025-12,3111.00,96.22,15312.98,2827.95,14139.75,2924.17
Fleet vehicle #102,2026-01,3111.00,80.39,12282.37,2827.95,11311.80,2908.34
Fleet vehicle #102,2026-02,3111.00,64.48,9235.85,2827.95,8483.85,2892.43
Fleet vehicle #102,2026-03,3111.00,48.49,6173.34,2827.95,5655.90,2876.44
Fleet vehicle #102,2026-04,3111.00,32.41,3094.75,2827.95,2827.95,2860.36
Fleet vehicle #102,2026-05,3111.00,16.25,0.00,2827.95,-0.00,2844.20
Fleet vehicle #103,2023-02,1784.00,306.50,56903.18,1621.69,56759.00,1928.18
Fleet vehicle #103,2023-03,1784.00,298.74,55417.92,1621.69,55137.31,1920.43
Fleet vehicle #103,2023-04,1784.00,290.94,53924.87,1621.69,53515.63,1912.63
Fleet vehicle #103,2023-05,1784.00,283.11,52423.97,1621.69,51893.94,1904.79
Fleet vehicle #103,2023-06,1784.00,275.23,50915.20,1621.69,50272.25,1896.91
Fleet vehicle #103,2023-07,1784.00,267.30,49398.50,1621.69,48650.57,1888.99
Fleet vehicle #103,2023-08,1784.00,259.34,47873.85,1621.69,47028.88,1881.03
Fleet vehicle #103,2023-09,1784.00,251.34,46341.18,1621.69,45407.20,1873.02
Fleet vehicle #103,2023-10,1784.00,243.29,44800.47,1621.69,43785.51,1864.98
Fleet vehicle #103,2023-11,1784.00,235.20,43251.68,1621.69,42163.83,1856.89
Fleet vehicle #103,2023-12,1784.00,227.07,41694.75,1621.69,40542.14,1848.76
Fleet vehicle #103,2024-01,1784.00,218.90,40129.65,1621.69,38920.45,1840.58
Fleet vehicle #103,2024-02,1784.00,210.68,38556.33,1621.69,37298.77,1832.37
Fleet vehicle #103,2024-03,1784.00,202.42,36974.75,1621.69,35677.08,1824.11
Fleet vehicle #103,2024-04,1784.00,194.12,35384.86,1621.69,34055.40,1815.80
Fleet vehicle #103,2024-05,1784.00,185.77,33786.63,1621.69,32433.71,1807.46
Fleet vehicle #103,2024-06,1784.00,177.38,32180.01,1621.69,30812.03,1799.07
Fleet vehicle #103,2024-07,1784.00,168.95,30564.96,1621.69,29190.34,1790.63
Fleet vehicle #103,2024-08,1784.00,160.47,28941.43,1621.69,27568.66,1782.15
Fleet vehicle #103,2024-09,1784.00,151.94,27309.37,1621.69,25946.97,1773.63
Fleet vehicle #103,2024-10,1784.00,143.37,25668.74,1621.69,24325.28,1765.06
Fleet vehicle #103,2024-11,1784.00,134.76,24019.50,1621.69,22703.60,1756.45
Fleet vehicle #103,2024-12,1784.00,126.10,22361.61,1621.69,21081.91,1747.79
Fleet vehicle #103,2025-01,1784.00,117.40,20695.00,1621.69,19460.23,1739.08
Fleet vehicle #103,2025-02,1784.00,108.65,19019.65,1621.69,17838.54,1730.33
Fleet vehicle #103,2025-03,1784.00,99.85,17335.51,1621.69,16216.86,1721.54
Fleet vehicle #103,2025-04,1784.00,91.01,15642.52,1621.69,14595.17,1712.70
Fleet vehicle #103,2025-05,1784.00,82.12,13940.64,1621.69,12973.48,1703.81
Fleet vehicle #103,2025-06,1784.00,73.19,12229.83,1621.69,11351.80,1694.87
Fleet vehicle #103,2025-07,1784.00,64.21,10510.04,1621.69,9730.11,1685.89
Fleet vehicle #103,2025-08,1784.00,55.18,8781.21,1621.69,8108.43,1676.86
Fleet vehicle #103,2025-09,1784.00,46.10,7043.31,1621.69,6486.74,1667.79
Fleet vehicle #103,2025-10,1784.00,36.98,5296.29,1621.69,4865.06,1658.66
Fleet vehicle #103,2025-11,1784.00,27.81,3540.10,1621.69,3243.37,1649.49
Fleet vehicle #103,2025-12,1784.00,18.59,1774.68,1621.69,1621.69,1640.27
Fleet vehicle #103,2026-01,1784.00,9.32,0.00,1621.69,0.00,1631.00
Fleet vehicle #104,2025-12,3480.00,623.56,110518.78,3149.31,110225.90,3772.88
Fleet vehicle #104,2026-01,3480.00,607.85,107646.63,3149.31,107076.59,3757.16
Fleet vehicle #104,2026-02,3480.00,592.06,104758.69,3149.31,103927.28,3741.37
Fleet vehicle #104,2026-03,3480.00,576.17,101854.86,3149.31,100777.97,3725.48
Fleet vehicle #104,2026-04,3480.00,560.20,98935.06,3149.31,97628.66,3709.51
Fleet vehicle #104,2026-05,3480.00,544.14,95999.21,3149.31,94479.35,3693.45
Fleet vehicle #104,2026-06,3480.00,528.00,93047.20,3149.31,91330.03,3677.31
Fleet vehicle #104,2026-07,3480.00,511.76,90078.96,3149.31,88180.72,3661.07
Fleet vehicle #104,2026-08,3480.00,495.43,87094.40,3149.31,85031.41,3644.75
Fleet vehicle #104,2026-09,3480.00,479.02,84093.41,3149.31,81882.10,3628.33
Fleet vehicle #104,2026-10,3480.00,462.51,81075.93,3149.31,78732.79,3611.83
Fleet vehicle #104,2026-11,3480.00,445.92,78041.85,3149.31,75583.48,3595.23
Fleet vehicle #104,2026-12,3480.00,429.23,74991.08,3149.31,72434.16,3578.54
Fleet vehicle #104,2027-01,3480.00,412.45,71923.53,3149.31,69284.85,3561.76
Fleet vehicle #104,2027-02,3480.00,395.58,68839.11,3149.31,66135.54,3544.89
Fleet vehicle #104,2027-03,3480.00,378.62,65737.72,3149.31,62986.23,3527.93
Fleet vehicle #104,2027-04,3480.00,361.56,62619.28,3149.31,59836.92,3510.87
Fleet vehicle #104,2027-05,3480.00,344.41,59483.68,3149.31,56687.61,3493.72
Fleet vehicle #104,2027-06,3480.00,327.16,56330.84,3149.31,53538.30,3476.47
Fleet vehicle #104,2027-07,3480.00,309.82,53160.66,3149.31,50388.98,3459.13
Fleet vehicle #104,2027-08,3480.00,292.38,49973.05,3149.31,47239.67,3441.70
Fleet vehicle #104,2027-09,3480.00,274.85,46767.90,3149.31,44090.36,3424.16
Fleet vehicle #104,2027-10,3480.00,257.22,43545.12,3149.31,40941.05,3406.53
Fleet vehicle #104,2027-11,3480.00,239.50,40304.62,3149.31,37791.74,3388.81
Fleet vehicle #104,2027-12,3480.00,221.68,37046.30,3149.31,34642.43,3370.99
Fleet vehicle #104,2028-01,3480.00,203.75,33770.05,3149.31,31493.12,3353.07
Fleet vehicle #104,2028-02,3480.00,185.74,30475.79,3149.31,28343.80,3335.05
Fleet vehicle #104,2028-03,3480.00,167.62,27163.40,3149.31,25194.49,3316.93
Fleet vehicle #104,2028-04,3480.00,149.40,23832.80,3149.31,22045.18,3298.71
Fleet vehicle #104,2028-05,3480.00,131.08,20483.88,3149.31,18895.87,3280.39
Fleet vehicle #104,2028-06,3480.00,112.66,17116.54,3149.31,15746.56,3261.97
Fleet vehicle #104,2028-07,3480.00,94.14,13730.69,3149.31,12597.25,3243.45
Fleet vehicle #104,2028-08,3480.00,75.52,10326.20,3149.31,9447.93,3224.83
Fleet vehicle #104,2028-09,3480.00,56.79,6903.00,3149.31,6298.62,3206.11
Fleet vehicle #104,2028-10,3480.00,37.97,3460.96,3149.31,3149.31,3187.28
Fleet vehicle #104,2028-11,3480.00,19.04,-0.00,3149.31,0.00,3168.35
Fleet vehicle #105,2024-05,2613.00,620.75,107551.12,2282.15,107261.23,2902.90
Fleet vehicle #105,2024-06,2613.00,609.46,105547.58,2282.15,104979.07,2891.61
Fleet vehicle #105,2024-07,2613.00,598.10,103532.68,2282.15,102696.92,2880.26
Fleet vehicle #105,2024-08,2613.00,586.69,101506.37,2282.15,100414.76,2868.84
Fleet vehicle #105,2024-09,2613.00,575.20,99468.57,2282.15,98132.61,2857.36
Fleet vehicle #105,2024-10,2613.00,563.66,97419.23,2282.15,95850.46,2845.81
Fleet vehicle #105,2024-11,2613.00,552.04,95358.27,2282.15,93568.30,2834.20
Fleet vehicle #105,2024-12,2613.00,540.36,93285.63,2282.15,91286.15,2822.52
Fleet vehicle #105,2025-01,2613.00,528.62,91201.25,2282.15,89004.00,2810.77
Fleet vehicle #105,2025-02,2613.00,516.81,89105.06,2282.15,86721.84,2798.96
Fleet vehicle #105,2025-03,2613.00,504.93,86996.99,2282.15,84439.69,2787.08
Fleet vehicle #105,2025-04,2613.00,492.98,84876.97,2282.15,82157.53,2775.14
Fleet vehicle #105,2025-05,2613.00,480.97,82744.94,2282.15,79875.38,2763.12
Fleet vehicle #105,2025-06,2613.00,468.89,80600.83,2282.15,77593.23,2751.04
Fleet vehicle #105,2025-07,2613.00,456.74,78444.57,2282.15,75311.07,2738.89
Fleet vehicle #105,2025-08,2613.00,444.52,76276.09,2282.15,73028.92,2726.67
Fleet vehicle #105,2025-09,2613.00,432.23,74095.32,2282.15,70746.77,2714.38
Fleet vehicle #105,2025-10,2613.00,419.87,71902.19,2282.15,68464.61,2702.03
Fleet vehicle #105,2025-11,2613.00,407.45,69696.64,2282.15,66182.46,2689.60
Fleet vehicle #105,2025-12,2613.00,394.95,67478.58,2282.15,63900.30,2677.10
Fleet vehicle #105,2026-01,2613.00,382.38,65247.96,2282.15,61618.15,2664.53
Fleet vehicle #105,2026-02,2613.00,369.74,63004.70,2282.15,59336.00,2651.89
Fleet vehicle #105,2026-03,2613.00,357.03,60748.73,2282.15,57053.84,2639.18
Fleet vehicle #105,2026-04,2613.00,344.24,58479.97,2282.15,54771.69,2626.40
Fleet vehicle #105,2026-05,2613.00,331.39,56198.36,2282.15,52489.54,2613.54
Fleet vehicle #105,2026-06,2613.00,318.46,53903.81,2282.15,50207.38,2600.61
Fleet vehicle #105,2026-07,2613.00,305.45,51596.27,2282.15,47925.23,2587.61
Fleet vehicle #105,2026-08,2613.00,292.38,49275.65,2282.15,45643.07,2574.53
Fleet vehicle #105,2026-09,2613.00,279.23,46941.88,2282.15,43360.92,2561.38
Fleet vehicle #105,2026-10,2613.00,266.00,44594.88,2282.15,41078.77,2548.16
Fleet vehicle #105,2026-11,2613.00,252.70,42234.58,2282.15,38796.61,2534.86
Fleet vehicle #105,2026-12,2613.00,239.33,39860.91,2282.15,36514.46,2521.48
Fleet vehicle #105,2027-01,2613.00,225.88,37473.79,2282.15,34232.31,2508.03
Fleet vehicle #105,2027-02,2613.00,212.35,35073.14,2282.15,31950.15,2494.51
Fleet vehicle #105,2027-03,2613.00,198.75,32658.89,2282.15,29668.00,2480.90
Fleet vehicle #105,2027-04,2613.00,185.07,30230.96,2282.15,27385.84,2467.22
Fleet vehicle #105,2027-05,2613.00,171.31,27789.27,2282.15,25103.69,2453.46
Fleet vehicle #105,2027-06,2613.00,157.47,25333.74,2282.15,22821.54,2439.63
Fleet vehicle #105,2027-07,2613.00,143.56,22864.30,2282.15,20539.38,2425.71
Fleet vehicle #105,2027-08,2613.00,129.56,20380.86,2282.15,18257.23,2411.72
Fleet vehicle #105,2027-09,2613.00,115.49,17883.35,2282.15,15975.08,2397.65
Fleet vehicle #105,2027-10,2613.00,101.34,15371.69,2282.15,13692.92,2383.49
Fleet vehicle #105,2027-11,2613.00,87.11,12845.80,2282.15,11410.77,2369.26
Fleet vehicle #105,2027-12,2613.00,72.79,10305.59,2282.15,9128.61,2354.95
Fleet vehicle #105,2028-01,2613.00,58.40,7750.99,2282.15,6846.46,2340.55
Fleet vehicle #105,2028-02,2613.00,43.92,5181.91,2282.15,4564.31,2326.08
Fleet vehicle #105,2028-03,2613.00,29.36,2598.28,2282.15,2282.15,2311.52
Fleet vehicle #105,2028-04,2613.00,14.72,-0.00,2282.15,-0.00,2296.88
Fleet vehicle #106,2023-06,2240.00,497.82,93081.39,1975.49,92848.08,2473.31
Fleet vehicle #106,2023-07,2240.00,488.68,91330.07,1975.49,90872.59,2464.17
Fleet vehicle #106,2023-08,2240.00,479.48,89569.55,1975.49,88897.10,2454.97
Fleet vehicle #106,2023-09,2240.00,470.24,87799.79,1975.49,86921.60,2445.73
Fleet vehicle #106,2023-10,2240.00,460.95,86020.74,1975.49,84946.11,2436.44
Fleet vehicle #106,2023-11,2240.00,451.61,84232.35,1975.49,82970.62,2427.10
Fleet vehicle #106,2023-12,2240.00,442.22,82434.57,1975.49,80995.13,2417.71
Fleet vehicle #106,2024-01,2240.00,432.78,80627.35,1975.49,79019.64,2408.27
Fleet vehicle #106,2024-02,2240.00,423.29,78810.65,1975.49,77044.15,2398.78
Fleet vehicle #106,2024-03,2240.00,413.76,76984.40,1975.49,75068.66,2389.25
Fleet vehicle #106,2024-04,2240.00,404.17,75148.57,1975.49,73093.17,2379.66
Fleet vehicle #106,2024-05,2240.00,394.53,73303.10,1975.49,71117.68,2370.02
Fleet vehicle #106,2024-06,2240.00,384.84,71447.94,1975.49,69142.19,2360.33
Fleet vehicle #106,2024-07,2240.00,375.10,69583.04,1975.49,67166.69,2350.59
Fleet vehicle #106,2024-08,2240.00,365.31,67708.35,1975.49,65191.20,2340.80
Fleet vehicle #106,2024-09,2240.00,355.47,65823.82,1975.49,63215.71,2330.96
Fleet vehicle #106,2024-10,2240.00,345.58,63929.40,1975.49,61240.22,2321.07
Fleet vehicle #106,2024-11,2240.00,335.63,62025.03,1975.49,59264.73,2311.12
Fleet vehicle #106,2024-12,2240.00,325.63,60110.66,1975.49,57289.24,2301.12
Fleet vehicle #106,2025-01,2240.00,315.58,58186.24,1975.49,55313.75,2291.07
Fleet vehicle #106,2025-02,2240.00,305.48,56251.72,1975.49,53338.26,2280.97
Fleet vehicle #106,2025-03,2240.00,295.32,54307.04,1975.49,51362.77,2270.81
Fleet vehicle #106,2025-04,2240.00,285.11,52352.15,1975.49,49387.28,2260.60
Fleet vehicle #106,2025-05,2240.00,274.85,50387.00,1975.49,47411.78,2250.34
Fleet vehicle #106,2025-06,2240.00,264.53,48411.53,1975.49,45436.29,2240.02
Fleet vehicle #106,2025-07,2240.00,254.16,46425.69,1975.49,43460.80,2229.65
Fleet vehicle #106,2025-08,2240.00,243.73,44429.43,1975.49,41485.31,2219.23
Fleet vehicle #106,2025-09,2240.00,233.25,42422.68,1975.49,39509.82,2208.75
Fleet vehicle #106,2025-10,2240.00,222.72,40405.40,1975.49,37534.33,2198.21
Fleet vehicle #106,2025-11,2240.00,212.13,38377.53,1975.49,35558.84,2187.62
Fleet vehicle #106,2025-12,2240.00,201.48,36339.01,1975.49,33583.35,2176.97
Fleet vehicle #106,2026-01,2240.00,190.78,34289.79,1975.49,31607.86,2166.27
Fleet vehicle #106,2026-02,2240.00,180.02,32229.81,1975.49,29632.37,2155.51
Fleet vehicle #106,2026-03,2240.00,169.21,30159.02,1975.49,27656.87,2144.70
Fleet vehicle #106,2026-04,2240.00,158.33,28077.35,1975.49,25681.38,2133.83
Fleet vehicle #106,2026-05,2240.00,147.41,25984.76,1975.49,23705.89,2122.90
Fleet vehicle #106,2026-06,2240.00,136.42,23881.18,1975.49,21730.40,2111.91
Fleet vehicle #106,2026-07,2240.00,125.38,21766.55,1975.49,19754.91,2100.87
Fleet vehicle #106,2026-08,2240.00,114.27,19640.83,1975.49,17779.42,2089.77
Fleet vehicle #106,2026-09,2240.00,103.11,17503.94,1975.49,15803.93,2078.61
Fleet vehicle #106,2026-10,2240.00,91.90,15355.84,1975.49,13828.44,2067.39
Fleet vehicle #106,2026-11,2240.00,80.62,13196.46,1975.49,11852.95,2056.11
Fleet vehicle #106,2026-12,2240.00,69.28,11025.74,1975.49,9877.46,2044.77
Fleet vehicle #106,2027-01,2240.00,57.89,8843.62,1975.49,7901.96,2033.38
Fleet vehicle #106,2027-02,2240.00,46.43,6650.05,1975.49,5926.47,2021.92
Fleet vehicle #106,2027-03,2240.00,34.91,4444.97,1975.49,3950.98,2010.40
Fleet vehicle #106,2027-04,2240.00,23.34,2228.30,1975.49,1975.49,1998.83
Fleet vehicle #106,2027-05,2240.00,11.70,0.00,1975.49,0.00,1987.19
Fleet vehicle #107,2023-07,3465.00,770.07,143985.28,3055.84,143624.37,3825.91
Fleet vehicle #107,2023-08,3465.00,755.92,141276.20,3055.84,140568.53,3811.76
Fleet vehicle #107,2023-09,3465.00,741.70,138552.90,3055.84,137512.69,3797.54
Fleet vehicle #107,2023-10,3465.00,727.40,135815.30,3055.84,134456.86,3783.24
Fleet vehicle #107,2023-11,3465.00,713.03,133063.33,3055.84,131401.02,3768.87
Fleet vehicle #107,2023-12,3465.00,698.58,130296.92,3055.84,128345.18,3754.42
Fleet vehicle #107,2024-01,3465.00,684.06,127515.98,3055.84,125289.34,3739.90
Fleet vehicle #107,2024-02,3465.00,669.46,124720.43,3055.84,122233.51,3725.30
Fleet vehicle #107,2024-03,3465.00,654.78,121910.22,3055.84,119177.67,3710.62
Fleet vehicle #107,2024-04,3465.00,640.03,119085.25,3055.84,116121.83,3695.87
Fleet vehicle #107,2024-05,3465.00,625.20,116245.44,3055.84,113065.99,3681.04
Fleet vehicle #107,2024-06,3465.00,610.29,113390.73,3055.84,110010.16,3666.13
Fleet vehicle #107,2024-07,3465.00,595.30,110521.03,3055.84,106954.32,3651.14
Fleet vehicle #107,2024-08,3465.00,580.24,107636.27,3055.84,103898.48,3636.07
Fleet vehicle #107,2024-09,3465.00,565.09,104736.36,3055.84,100842.64,3620.93
Fleet vehicle #107,2024-10,3465.00,549.87,101821.22,3055.84,97786.80,3605.70
Fleet vehicle #107,2024-11,3465.00,534.56,98890.79,3055.84,94730.97,3590.40
Fleet vehicle #107,2024-12,3465.00,519.18,95944.96,3055.84,91675.13,3575.01
Fleet vehicle #107,2025-01,3465.00,503.71,92983.67,3055.84,88619.29,3559.55
Fleet vehicle #107,2025-02,3465.00,488.16,90006.84,3055.84,85563.45,3544.00
Fleet vehicle #107,2025-03,3465.00,472.54,87014.37,3055.84,82507.62,3528.37
Fleet vehicle #107,2025-04,3465.00,456.83,84006.20,3055.84,79451.78,3512.66
Fleet vehicle #107,2025-05,3465.00,441.03,80982.23,3055.84,76395.94,3496.87
Fleet vehicle #107,2025-06,3465.00,425.16,77942.39,3055.84,73340.10,3480.99
Fleet vehicle #107,2025-07,3465.00,409.20,74886.59,3055.84,70284.27,3465.04
Fleet vehicle #107,2025-08,3465.00,393.15,71814.74,3055.84,67228.43,3448.99
Fleet vehicle #107,2025-09,3465.00,377.03,68726.77,3055.84,64172.59,3432.87
Fleet vehicle #107,2025-10,3465.00,360.82,65622.58,3055.84,61116.75,3416.65
Fleet vehicle #107,2025-11,3465.00,344.52,62502.10,3055.84,58060.92,3400.36
Fleet vehicle #107,2025-12,3465.00,328.14,59365.24,3055.84,55005.08,3383.97
Fleet vehicle #107,2026-01,3465.00,311.67,56211.91,3055.84,51949.24,3367.51
Fleet vehicle #107,2026-02,3465.00,295.11,53042.02,3055.84,48893.40,3350.95
Fleet vehicle #107,2026-03,3465.00,278.47,49855.49,3055.84,45837.56,3334.31
Fleet vehicle #107,2026-04,3465.00,261.74,46652.23,3055.84,42781.73,3317.58
Fleet vehicle #107,2026-05,3465.00,244.92,43432.15,3055.84,39725.89,3300.76
Fleet vehicle #107,2026-06,3465.00,228.02,40195.17,3055.84,36670.05,3283.86
Fleet vehicle #107,2026-07,3465.00,211.02,36941.20,3055.84,33614.21,3266.86
Fleet vehicle #107,2026-08,3465.00,193.94,33670.14,3055.84,30558.38,3249.78
Fleet vehicle #107,2026-09,3465.00,176.77,30381.91,3055.84,27502.54,3232.61
Fleet vehicle #107,2026-10,3465.00,159.51,27076.41,3055.84,24446.70,3215.34
Fleet vehicle #107,2026-11,3465.00,142.15,23753.56,3055.84,21390.86,3197.99
Fleet vehicle #107,2026-12,3465.00,124.71,20413.27,3055.84,18335.03,3180.54
Fleet vehicle #107,2027-01,3465.00,107.17,17055.44,3055.84,15279.19,3163.01
Fleet vehicle #107,2027-02,3465.00,89.54,13679.98,3055.84,12223.35,3145.38
Fleet vehicle #107,2027-03,3465.00,71.82,10286.80,3055.84,9167.51,3127.66
Fleet vehicle #107,2027-04,3465.00,54.01,6875.81,3055.84,6111.68,3109.84
Fleet vehicle #107,2027-05,3465.00,36.10,3446.90,3055.84,3055.84,3091.94
Fleet vehicle #107,2027-06,3465.00,18.10,0.00,3055.84,0.00,3073.93
Fleet vehicle #108,2023-12,2494.00,428.48,79549.63,2267.09,79348.06,2695.57
Fleet vehicle #108,2024-01,2494.00,417.64,77473.26,2267.09,77080.97,2684.72
Fleet vehicle #108,2024-02,2494.00,406.73,75386.00,2267.09,74813.88,2673.82
Fleet vehicle #108,2024-03,2494.00,395.78,73287.77,2267.09,72546.80,2662.86
Fleet vehicle #108,2024-04,2494.00,384.76,71178.53,2267.09,70279.71,2651.85
